population,policy,active_groups,quantile,complete_seconds,update_seconds,two_rerefine_seconds,two_cached_rerefine_seconds
2048,fixed,8,0.95,0.07337916460819535,0.03130068453028795,0.009797969739884066,0.002888699620962075
2048,fixed_coarse,0,0.5,0.0409288071095943,0.0409288071095943,,
2048,fixed_coarse,0,0.95,0.04392110463231797,0.04392110463231797,,
2048,random,2,0.5,0.05068096192553635,0.0097730355337262,0.0091284373775124,0.0025138501077889997
2048,random,2,0.95,0.05362616074271497,0.010161443008109899,0.01003383286297314,0.002566418144851885
2048,random,4,0.5,0.05715338885784145,0.016266182530671303,0.0089758723042905,0.00251693045720455
2048,random,4,0.95,0.06011843821033832,0.016839728318154765,0.010082489997148478,0.0025720441713929
2048,random,8,0.5,0.07051606988534324,0.02949081780388945,0.0089678079821169,0.00251755630597465
2048,random,8,0.95,0.07539050388149914,0.031484782136976676,0.009376241499558055,0.0025609934702515097
2048,uncertainty,2,0.5,0.050687052775174296,0.00980281503871075,0.00911825709044925,0.00252153072506185
2048,uncertainty,2,0.95,0.0540087119210511,0.010171613376587604,0.009901084098964855,0.0026004375424235598
2048,uncertainty,4,0.5,0.05769931850954885,0.01655182847753165,0.008956337813287949,0.0025192657485603497
2048,uncertainty,4,0.95,0.062413415964692784,0.01822779281064861,0.00924869342707092,0.0025452869944274
2048,uncertainty,8,0.5,0.0700601288117468,0.029026882722973747,0.0089456480927765,0.0025140005163848
2048,uncertainty,8,0.95,0.0738999906927347,0.030867285188287446,0.0093167795799672,0.002575543848797655
2048,uniform_fine_stream,0,0.5,0.0501650017686188,0.0501650017686188,,
2048,uniform_fine_stream,0,0.95,0.05388160613365467,0.05388160613365467,,
4194,fixed,2,0.5,0.056536465883255005,0.0107163363136351,0.00982232438400385,0.0025430759415030002
4194,fixed,2,0.95,0.059529360383748973,0.01149408281780771,0.010752751538529965,0.002614222932606885
4194,fixed,4,0.5,0.0637382650747895,0.01776135200634595,0.00991411367431275,0.00253555085510015
4194,fixed,4,0.95,0.06588333514519032,0.01849587042815978,0.0102035879623144,0.00261912145651868
4194,fixed,8,0.5,0.07703728228807445,0.0310340537689626,0.0099015738815069,0.00272138789296145
4194,fixed,8,0.95,0.07954981951043004,0.031962544657289906,0.010845097340643324,0.00288790492340915
4194,fixed_coarse,0,0.5,0.0458484543487429,0.0458484543487429,,
4194,fixed_coarse,0,0.95,0.04759376929141577,0.04759376929141577,,
4194,random,2,0.5,0.056313177570700604,0.0104045742191374,0.009928799234330599,0.00255019078031175
4194,random,2,0.95,0.058609651168808286,0.011004777112975676,0.011048762639984415,0.002637345856055575
4194,random,4,0.5,0.06337393447756764,0.0174883198924362,0.009958263952285,0.0025306646712123498
4194,random,4,0.95,0.06604274204000826,0.01854292270727454,0.01035125614143905,0.002626431873068165
4194,random,8,0.5,0.077456371858716,0.031449884176254245,0.009922393132001151,0.002523420844227
4194,random,8,0.95,0.0800819618627429,0.03432581541128452,0.011528042145073334,0.002625489514321035
4194,uncertainty,2,0.5,0.056335176806896856,0.010418948251754,0.009929069317877251,0.0025205658748745
4194,uncertainty,2,0.95,0.05843991595320399,0.011026405496522739,0.01068169497884806,0.00261663375422352
4194,uncertainty,4,0.5,0.0637201508507132,0.01787424646317955,0.00996091775596135,0.0025442698970436998
4194,uncertainty,4,0.95,0.06629745629616077,0.01851149038411671,0.010595150198787385,0.00262108664028339
4194,uncertainty,8,0.5,0.07713469071313736,0.031280211172997896,0.0099131180904805,0.0025294451043009
4194,uncertainty,8,0.95,0.07977191396057598,0.032208709605038105,0.010420392267405905,0.0026333351153880152
4194,uniform_fine_stream,0,0.5,0.056760673411190454,0.056760673411190454,,
4194,uniform_fine_stream,0,0.95,0.05953663657419377,0.05953663657419377,,
