population,policy,active_groups,horizon_steps,level,absolute_mean_difference
2048,uniform_fine_stream,16,12,regional,0.0
4194,fixed,2,2,group,1.0651237145457195
4194,fixed,2,2,household,0.1675631616987262
4194,fixed,2,2,regional,15.247308626075252
4194,fixed,2,12,group,2.155586153288956
4194,fixed,2,12,household,0.05434447765655706
4194,fixed,2,12,regional,29.784092654909756
4194,fixed,4,2,group,0.7785768856987665
4194,fixed,4,2,household,0.1345620705272113
4194,fixed,4,2,regional,10.063878159995088
4194,fixed,4,12,group,1.388846379604949
4194,fixed,4,12,household,0.03488879160794056
4194,fixed,4,12,regional,18.850688290677102
4194,fixed,8,2,group,0.5573141285786634
4194,fixed,8,2,household,0.10020947659253424
4194,fixed,8,2,regional,6.643801916696017
4194,fixed,8,12,group,1.0673266362146039
4194,fixed,8,12,household,0.03239414276657128
4194,fixed,8,12,regional,14.68850362573422
4194,fixed_coarse,0,2,group,1.4834433229752446
4194,fixed_coarse,0,2,household,0.21703487648031775
4194,fixed_coarse,0,2,regional,21.015577730704074
4194,fixed_coarse,0,12,group,3.4909454970089895
4194,fixed_coarse,0,12,household,0.09236127807239641
4194,fixed_coarse,0,12,regional,49.9682729496502
4194,random,2,2,group,1.0353814711142628
4194,random,2,2,household,0.16023620494590513
4194,random,2,2,regional,14.979964910714195
4194,random,2,12,group,2.3204902500796423
4194,random,2,12,household,0.0611663174662401
4194,random,2,12,regional,35.807486835104726
4194,random,4,2,group,0.7352943988602121
4194,random,4,2,household,0.13621241068762507
4194,random,4,2,regional,9.869205865026377
4194,random,4,12,group,1.5775288566553451
4194,random,4,12,household,0.05052890830243892
4194,random,4,12,regional,24.21171447665643
4194,random,8,2,group,0.3820192505032993
4194,random,8,2,household,0.0800095974065877
4194,random,8,2,regional,5.2627203254864625
4194,random,8,12,group,1.0544789953259102
4194,random,8,12,household,0.02721432039702521
4194,random,8,12,regional,14.247201451397267
4194,uncertainty,2,2,group,0.7279708967899583
4194,uncertainty,2,2,household,0.1868529451065014
4194,uncertainty,2,2,regional,10.275509961080346
4194,uncertainty,2,12,group,1.6259315515904773
4194,uncertainty,2,12,household,0.054722942925034684
4194,uncertainty,2,12,regional,24.022169874266297
4194,uncertainty,4,2,group,0.8226490525208776
4194,uncertainty,4,2,household,0.17385824030475222
4194,uncertainty,4,2,regional,9.795597448284791
4194,uncertainty,4,12,group,1.6968059660558705
4194,uncertainty,4,12,household,0.053506298169661015
4194,uncertainty,4,12,regional,23.81562877248047
4194,uncertainty,8,2,group,0.6399848497302731
4194,uncertainty,8,2,household,0.17474927520157219
4194,uncertainty,8,2,regional,6.795383910144999
4194,uncertainty,8,12,group,1.1761795755144508
4194,uncertainty,8,12,household,0.04428935905913675
4194,uncertainty,8,12,regional,14.550047587377215
4194,uniform_fine_stream,16,2,group,0.0
4194,uniform_fine_stream,16,2,household,0.0
4194,uniform_fine_stream,16,2,regional,0.0
4194,uniform_fine_stream,16,12,group,0.0
4194,uniform_fine_stream,16,12,household,0.0
4194,uniform_fine_stream,16,12,regional,0.0
