origin,profile,basis,global_delta,block_delta,row_delta,delta,spectral_delta_audit,output_bound_kwh,polynomial_output_error_kwh,degree,conclusive,fallback_count_batch,initial_relative_residual
16,0,reference_eigen,0.7796035783586329,0.34060315786504153,0.44736449357373287,0.34060315786504153,,0.001895118473418951,4.6021780481471116e-14,12,True,0,0.021441803893779435
16,1,reference_eigen,818.4026815203805,41.13260968011208,56.39804457149382,41.13260968011208,,inf,3.6096185668229706,12,False,0,0.5806134119856774
16,2,reference_eigen,6.364636631282984,2.6196245127459465,3.6850774263476,2.6196245127459465,,inf,16.824951171216057,12,False,0,0.1784060474671851
16,3,reference_eigen,5.0532882523317415,1.6681680709456408,1.975646304287761,1.6681680709456408,,inf,12.343674132703848,12,False,0,0.11627565386219803
16,4,reference_eigen,3.9210272984825205,1.3827464305068933,1.5769983916022563,1.3827464305068933,,inf,4.328233724797693,12,False,0,0.07572883941354575
16,5,reference_eigen,2.765268318508778,0.9574921481573466,1.105280442689641,0.9574921481573466,,19439.756731869995,6.931782989704171e-11,12,False,0,0.05771605845923678
16,6,reference_eigen,5.9330235966233955,2.1492907767144835,2.753685526294724,2.1492907767144835,,inf,17.38489349803492,12,False,0,0.1704521657420439
16,7,reference_eigen,8.944860616625746,2.7653903682425254,3.4315516314782495,2.7653903682425254,,inf,24.459967061459505,12,False,0,0.20440118645088504
16,8,reference_eigen,9.50774158233895,2.772732292683597,3.4437934641626886,2.772732292683597,,inf,17.030726629951616,12,False,0,0.19943097514996322
16,9,reference_eigen,6.983723753959517,2.347794792645168,2.904721266216078,2.347794792645168,,inf,15.784454855709253,12,False,0,0.16286280549470647
16,10,reference_eigen,8.521193067864058,2.6938986072723643,3.2657806805438376,2.6938986072723643,,inf,19.454497403848734,12,False,0,0.1609684631878935
16,11,reference_eigen,7.023635638245583,2.6397946582399423,3.635071986432664,2.6397946582399423,,inf,11.15849968697223,12,False,0,0.1716459667497273
16,12,reference_eigen,9.647761331242798,3.151940250006514,3.9910822548698985,3.151940250006514,,inf,26.84943612606948,12,False,0,0.21954894935244934
16,13,reference_eigen,5.321581581318849,1.904813448996175,2.4013151886596655,1.904813448996175,,inf,3.3420275096572727,12,False,0,0.11183842126469362
16,14,reference_eigen,4.24256036665712,1.4173553658743197,1.651473755408706,1.4173553658743197,,inf,5.582596998019019,12,False,0,0.08298524715018997
16,15,reference_eigen,3.5352176166975586,1.2883113886817998,1.5395737074545615,1.2883113886817998,,inf,0.39787241214752633,12,False,0,0.06528798956149681
16,0,rjd,5.6883454155135285,3.1973866272481177,3.796974426655536,3.1973866272481177,,inf,10.459218012734103,12,False,0,0.2755950081285252
16,1,rjd,239.8915091451803,40.60826944730269,49.984436074723384,40.60826944730269,,inf,3.426170547745871,12,False,0,0.6971581852305516
16,2,rjd,5.503093493246697,2.6862107956484933,3.358142972846335,2.6862107956484933,,inf,1.022269213987082,12,False,0,0.19737809603418496
16,3,rjd,5.576311249642653,2.8279694221755536,3.4309875481588565,2.8279694221755536,,inf,9.298161816974497,12,False,0,0.2691164598181087
16,4,rjd,5.763319570562902,3.0436717581079145,3.648331974920347,3.0436717581079145,,inf,9.774722739206354,12,False,0,0.29939202772002405
16,5,rjd,6.042154985361325,3.255331438540539,3.8528232983424435,3.255331438540539,,inf,7.297287568899282,12,False,0,0.36235987915184054
16,6,rjd,6.083686079285504,2.878584729335435,3.5148313276539165,2.878584729335435,,inf,9.127093157738127,12,False,0,0.2396008597210085
16,7,rjd,6.242186801341417,2.8967736568997875,3.533528088035002,2.8967736568997875,,inf,3.104711341600078,12,False,0,0.2806587286201387
16,8,rjd,6.225497217761012,2.9371858705756275,3.498494763955914,2.9371858705756275,,inf,8.41430558698954,12,False,0,0.32506302836730144
16,9,rjd,5.331140728531365,2.63018168635189,3.19686618272706,2.63018168635189,,inf,15.440307283164598,12,False,0,0.25002360245400695
16,10,rjd,6.439026859227117,3.1430517704895813,3.755235357114673,3.1430517704895813,,inf,11.851477984005536,12,False,0,0.36451573564889345
16,11,rjd,5.49372013863297,2.733793503878874,3.4405852648030884,2.733793503878874,,inf,15.040604081434022,12,False,0,0.2008032703923686
16,12,rjd,5.602598818865013,2.588933133413521,3.1466618800835415,2.588933133413521,,inf,16.922004863260675,12,False,0,0.24138975891676107
16,13,rjd,5.464135249879454,2.7722583921058406,3.357423647254599,2.7722583921058406,,inf,13.32086400611464,12,False,0,0.2280085647270894
16,14,rjd,6.3591921067459705,3.2401715951405183,3.818459438773231,3.2401715951405183,,inf,5.169362659924683,12,False,0,0.38350198665083923
16,15,rjd,5.522902063644095,2.9474066924922218,3.519682308395101,2.9474066924922218,,inf,15.225885560208072,12,False,0,0.28424912213781983
17,0,identity,10.175367441045555,4.9731781469849565,5.154900029720543,4.9731781469849565,,inf,36.5614244527157,12,False,0,0.30274413629101293
