episode,step,method,complete_seconds,cuda_event_ms,provider_summary_seconds,provider_summary_scan_rows,summary_bytes,fine_attempts,fine_valid,fine_bytes,window_cache_bytes,retained_old_fine_cells,expired_fine_cells,source_rereads,groups_rebuilt,separator_rebuilt,detail_bytes,state_bytes,after_eviction_bytes,gpu_peak_bytes,host_peak_bytes,payload_transfer_bytes
calibration_final,9,M3_fixed,0.06990571692585945,69.8463363647461,2.03792005777359e-05,4194,717,209,208,3472,805248,1867,0,0,16,1,38651904,41017344,2365440,181389824,1447305216,1022214
calibration_final,9,M4,0.07080095820128918,70.7284164428711,2.03792005777359e-05,4194,717,4194,4168,67232,805248,37509,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,10,M0,0.07514859549701214,75.05878448486328,2.171006053686142e-05,4194,717,0,0,0,805248,0,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,10,M1,0.07040485180914402,70.3410873413086,2.171006053686142e-05,4194,717,41,40,720,805248,409,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,10,M2,0.07005748618394136,69.99657440185547,2.171006053686142e-05,4194,717,209,206,3472,805248,2073,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,10,M3,0.07036251202225685,70.30178833007812,2.171006053686142e-05,4194,717,209,208,3472,805248,2075,0,0,16,1,0,2365440,2365440,181389824,1447305216,1022214
calibration_final,10,M3_fixed,0.07003352604806423,69.97261047363281,2.171006053686142e-05,4194,717,209,208,3472,805248,2075,0,0,16,1,38651904,41017344,2365440,181389824,1447305216,1022214
calibration_final,10,M4,0.07080330792814493,70.73894500732422,2.171006053686142e-05,4194,717,4194,4168,67232,805248,41677,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
calibration_final,11,M0,0.07193839736282825,71.86685180664062,2.1510757505893707e-05,4194,717,0,0,0,805248,0,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
calibration_final,11,M1,0.07021117489784956,70.1502685546875,2.1510757505893707e-05,4194,717,41,41,720,805248,449,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
calibration_final,11,M2,0.0704200528562069,70.35948944091797,2.1510757505893707e-05,4194,717,209,209,3472,805248,2279,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
calibration_final,11,M3,0.07043172232806683,70.37094116210938,2.1510757505893707e-05,4194,717,209,208,3472,805248,2283,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
calibration_final,11,M3_fixed,0.07053793221712112,70.47366333007812,2.1510757505893707e-05,4194,717,209,208,3472,805248,2283,0,0,16,1,38651904,41017344,2365440,181389824,1447698432,1022214
calibration_final,11,M4,0.070777109824121,70.71033477783203,2.1510757505893707e-05,4194,717,4194,4168,67232,805248,45845,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
calibration_final,12,M0,0.07021867390722036,70.14800262451172,2.1260231733322144e-05,4194,717,0,0,0,805248,0,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
calibration_final,12,M1,0.07020581513643265,70.13980865478516,2.1260231733322144e-05,4194,717,41,41,720,805248,490,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
calibration_final,12,M2,0.07405879721045494,73.99820709228516,2.1260231733322144e-05,4194,717,209,207,3472,805248,2488,0,0,16,1,0,2365440,2365440,181389824,1447698432,1022214
