family,magnitude,method,backgrounds,detection_rate,correct_group_rate,mean_delay_including_misses,matched_background_detection_rate,detection_excess_over_background,localization_excess_over_background,missed_fraction,house_recall,false_house_instances,false_group_instances,median_peak_detection_score,negative_alarm_rate,any_negative_alarm
regional,3.0,M2,8,1.0,1.0,0.0,0.375,0.625,0.625,0.0,2.997601918465228e-05,0.0,0.0,1.4914137632210354,0.08928571428571427,1.0
regional,3.0,M3,8,1.0,1.0,0.0,0.25,0.75,0.75,0.0,3.057729941291585e-05,0.0,0.0,1.5592167164651216,0.10863095238095238,1.0
regional,3.0,M3_fixed,8,1.0,1.0,0.0,0.25,0.75,0.75,0.0,3.057729941291585e-05,0.0,0.0,1.5592167164651216,0.10863095238095238,1.0
regional,3.0,M4,8,1.0,1.0,0.0,0.375,0.625,0.625,0.0,6.052342876431992e-05,0.0,0.0,1.561044604458567,0.1378968253968254,1.0
sensor_fault,3.0,M0,8,0.875,0.875,0.875,0.375,0.5,0.875,0.125,0.0,0.0,2.125,1.2525513657557394,0.10962301587301587,1.0
sensor_fault,3.0,M1,8,0.25,0.125,5.875,0.125,0.125,0.125,0.75,0.0,0.125,0.5,0.8980100418843021,0.040178571428571425,0.875
sensor_fault,3.0,M2,8,0.625,0.5,3.25,0.375,0.25,0.5,0.375,0.0,0.125,0.75,1.0778108867181548,0.0679563492063492,1.0
sensor_fault,3.0,M3,8,0.75,0.625,2.375,0.25,0.5,0.625,0.25,0.0,0.25,1.0,1.0545428160507924,0.08531746031746032,1.0
sensor_fault,3.0,M3_fixed,8,0.75,0.625,2.375,0.25,0.5,0.625,0.25,0.0,0.25,1.0,1.0545428160507924,0.08531746031746032,1.0
sensor_fault,3.0,M4,8,0.75,0.625,2.375,0.375,0.375,0.625,0.25,0.0,0.75,1.5,1.0787141667907894,0.11458333333333333,1.0
