week,building,site,method,is90_sum,is90_count,coverage90_sum,coverage90_count,loss_sum,loss_count
2016-10-17/2016-10-23,Moose_education_Abbie,Moose,exact_lineage,7.496596041541459,32,29.666666666666668,32,2.1187657599169416,32
2016-10-17/2016-10-23,Moose_education_Abbie,Moose,seasonal_naive,4.371836284204457,32,30.0,32,1.3627779929466755,32
2016-10-17/2016-10-23,Moose_education_Abbie,Moose,shrinkage,8.266063441289543,32,29.666666666666668,32,2.5424162406940396,32
2016-10-17/2016-10-23,Moose_education_Abbie,Moose,sketch_2048,7.272222214569999,32,29.666666666666668,32,2.1394118922903003,32
2016-10-17/2016-10-23,Mouse_health_Buddy,Mouse,ci,19.915068783845527,31,24.0,31,4.836801396862611,31
2016-10-17/2016-10-23,Mouse_health_Buddy,Mouse,common_corrected,15.558276515876642,31,31.0,31,2.429313517661089,31
2016-10-17/2016-10-23,Mouse_health_Buddy,Mouse,exact_lineage,16.34128170427561,31,31.0,31,2.879172882788338,31
2016-10-17/2016-10-23,Mouse_health_Buddy,Mouse,seasonal_naive,0.0,31,31.0,31,0.0,31
2016-10-17/2016-10-23,Mouse_health_Buddy,Mouse,shrinkage,19.927925373336972,31,31.0,31,1.6001407943480699,31
2016-10-17/2016-10-23,Mouse_health_Buddy,Mouse,sketch_2048,16.874915757196124,31,27.333333333333332,31,2.889632200793775,31
2016-10-17/2016-10-23,Panther_assembly_Carrol,Panther,ci,136.1841419661857,32,28.0,32,53.752937405166634,32
2016-10-17/2016-10-23,Panther_assembly_Carrol,Panther,common_corrected,117.03951916088478,32,28.0,32,51.91516243386322,32
2016-10-17/2016-10-23,Panther_assembly_Carrol,Panther,exact_lineage,116.51143323782252,32,28.333333333333332,32,51.73352067011073,32
2016-10-17/2016-10-23,Panther_assembly_Carrol,Panther,seasonal_naive,400.7410782339974,32,18.0,32,52.271649301945274,32
2016-10-17/2016-10-23,Panther_assembly_Carrol,Panther,shrinkage,140.1232777004794,32,27.666666666666668,32,54.73508512369124,32
2016-10-17/2016-10-23,Panther_assembly_Carrol,Panther,sketch_2048,117.45951700926233,32,28.0,32,51.9848713582595,32
2016-10-17/2016-10-23,Peacock_assembly_Dena,Peacock,ci,21.748334917918843,32,26.666666666666668,32,5.176552542460221,32
2016-10-17/2016-10-23,Peacock_assembly_Dena,Peacock,common_corrected,19.120251271842626,32,27.333333333333332,32,4.326343980051837,32
2016-10-17/2016-10-23,Peacock_assembly_Dena,Peacock,exact_lineage,19.131632544989827,32,27.333333333333332,32,4.303923806946638,32
2016-10-17/2016-10-23,Peacock_assembly_Dena,Peacock,seasonal_naive,12.807923966735737,32,26.0,32,3.5607037187697674,32
