method,calibrated,mae,rmse,bias,coverage90,coverage95,normalized_is90,width90,normalized_width90,normalized_reservation_loss
individual_3,False,31.835635893592524,40.09161713876284,6.511253104878168,0.9428127149032322,0.9720257392671185,1.7410687308681736,177.16534171390668,1.6183712070876124,0.5657715171318649
individual_3,True,31.835635893592524,40.09161713876284,6.511253104878168,0.8547257544208131,0.9216797037466649,1.4666614986995652,163.64194637869033,1.0492008966246829,0.3719794051894283
naive_independence,False,30.80599124255561,38.68741075477411,9.033915496821125,0.7334429803220467,0.81634311855522,1.5170450048625737,88.65920877585809,0.8094114766945643,0.48726739084791104
naive_independence,True,30.80599124255561,38.68741075477411,9.033915496821125,0.8337722051226443,0.9073102665124461,1.4206230993483928,158.05100563732503,0.9864702747175734,0.3666138375828098
pooled_privileged,False,30.344791563649284,38.061079935455076,8.617931192152627,0.964900162098438,0.983955938697318,1.6662569587684415,174.95356315077444,1.5964078320748518,0.5414263922665806
pooled_privileged,True,30.344791563649284,38.061079935455076,8.617931192152627,0.8174205309859182,0.8917969756453816,1.4154903393686518,153.1468824506567,0.9495752029891483,0.362697954285721
seasonal_naive,False,33.059343886310046,44.98023119896044,-1.8168906332891253,0.9021100427350427,0.9368368700265252,1.7218767485283106,146.61643509813115,1.0041975888616221,0.4692159013538047
seasonal_naive,True,33.059343886310046,44.98023119896044,-1.8168906332891253,0.8600012894193928,0.9518908414382552,1.4504752310350122,141.33605000000006,0.7360373226246604,0.4464318969375854
shrinkage,False,31.1391554014334,39.687921960460656,7.109692836856453,0.6133302111235435,0.6772475128822397,2.982331185030963,91.2025715945344,0.5642487740855079,0.5370162617064367
shrinkage,True,31.1391554014334,39.687921960460656,7.109692836856453,0.8233691219621604,0.9027262820976224,1.5165964506009564,155.8892916181311,1.0466125107684607,0.37303046045904903
shrinkage_cleaned_mask,True,30.833851331480588,38.74523003532343,7.461186094191897,0.8239063533464682,0.9032635134819302,1.5150716010188408,155.8892916181311,1.0466125107684607,0.3710554440533174
sketch_2048,False,29.26776615098957,37.38620557873672,6.364950052968633,0.9634756606739365,0.9850243147656941,1.6728349620965532,175.33748467063606,1.602566460822631,0.532745896306968
sketch_2048,True,29.26776615098957,37.38620557873672,6.364950052968633,0.8275978839906926,0.9029293975109688,1.3718993029359343,151.66290722138413,0.9608731608029958,0.3693734277826234
sketch_2048_cleaned_mask,True,28.971185560026196,36.49743769241369,6.716915116125415,0.8281366770941407,0.9034681906144171,1.3708359415451454,151.662495896637,0.9608724848236151,0.36741788311047335
sketch_2048_r0.5,False,31.05400938620498,42.09546797813559,15.218376563653877,0.9251399941055114,0.9742852932508105,1.0805018165409273,168.69458601159187,0.9370577985119223,0.38038405003582443
sketch_2048_r0.5,True,31.05400938620498,42.09546797813559,15.218376563653877,0.8739132036545829,0.9187849985263778,1.2850917036183813,321.32001333692875,0.984325157169874,0.28250347232987993
sketch_2048_r1.0,False,31.482208305326353,42.590502955040215,15.63794004552193,0.9700117889773062,0.9913977306218686,1.2157412730255652,205.71272378884208,1.1435961724455428,0.4237520729448406
sketch_2048_r1.0,True,31.482208305326353,42.590502955040215,15.63794004552193,0.8781867079280873,0.9251952549366342,1.3010011909763883,322.73884630174587,1.0068530701326193,0.28411582620597364
sketch_512,False,29.456793745334462,37.755490645031166,5.993346677042336,0.9545725267708026,0.9798604971018764,1.6994856337512905,175.50136881828075,1.6052532800817043,0.5357788061795068
sketch_512,True,29.456793745334462,37.755490645031166,5.993346677042336,0.8263211784540938,0.9002675849476701,1.4233606837478656,152.19359960535235,0.9697564691813602,0.3825375240704689
uninflated_2048,False,29.500768177866952,37.6042141853566,6.927007943414036,0.9608047205029964,0.9835998133411927,1.6732053065188612,174.99124892624613,1.5985065870670088,0.5339213376825811
uninflated_2048,True,29.500768177866952,37.6042141853566,6.927007943414036,0.8346692378592997,0.8991833619253106,1.3880413021061229,153.5323134532076,0.9660328684707139,0.36711052721368675
uninflated_512,False,29.426345568282123,37.56659265311591,6.759372059022811,0.9597363444346203,0.9832436879850673,1.6757582265893094,175.0043319373821,1.5983966674906687,0.5346444614192177
uninflated_512,True,29.426345568282123,37.56659265311591,6.759372059022811,0.8310638625725084,0.8986004586301432,1.3973696590453117,153.64291354905245,0.9683663730972599,0.36704600043629493
